NUM_INDX,DESCRIPCION_INDX,DESCRIPCION_INDX_NORM,PILAR,SUBPILAR,DESCRIPCION_PILAR,AÑO,CATEGORIA_INDX,CATEGORIA_DESC,FACTOR
1.01,Property rights,property rights,1,1,Instituciones,2014,A,Requisitos Básicos,0.4
1.02,Intellectual property protection,intellectual property protection,1,2,Instituciones,2014,A,Requisitos Básicos,0.4
1.03,Diversion of public funds,diversion of public funds,1,3,Instituciones,2014,A,Requisitos Básicos,0.4
1.04,Public trust in politicians,public trust in politicians,1,4,Instituciones,2014,A,Requisitos Básicos,0.4
1.05,Irregular payments and bribes,irregular payments and bribes,1,5,Instituciones,2014,A,Requisitos Básicos,0.4
1.06,Judicial independence,judicial independence,1,6,Instituciones,2014,A,Requisitos Básicos,0.4
1.07,Favoritism in decisions of government officials,favoritism in decisions of government officials,1,7,Instituciones,2014,A,Requisitos Básicos,0.4
1.08,Wastefulness of government spending,wastefulness of government spending,1,8,Instituciones,2014,A,Requisitos Básicos,0.4
1.09,Burden of government regulation,burden of government regulation,1,9,Instituciones,2014,A,Requisitos Básicos,0.4
1.10,Efficiency of legal framework in settling disputes,efficiency of legal framework in settling disputes,1,10,Instituciones,2014,A,Requisitos Básicos,0.4
1.11,Efficiency of legal framework in challenging regulations,efficiency of legal framework in challenging regulations,1,11,Instituciones,2014,A,Requisitos Básicos,0.4
1.12,Transparency of government policymaking,transparency of government policymaking,1,12,Instituciones,2014,A,Requisitos Básicos,0.4
1.13,Business costs of terrorism,business costs of terrorism,1,13,Instituciones,2014,A,Requisitos Básicos,0.4
1.14,Business costs of crime and violence,business costs of crime and violence,1,14,Instituciones,2014,A,Requisitos Básicos,0.4
1.15,Organized crime,organized crime,1,15,Instituciones,2014,A,Requisitos Básicos,0.4
1.16,Reliability of police services,reliability of police services,1,16,Instituciones,2014,A,Requisitos Básicos,0.4
1.17,Ethical behavior of firms,ethical behavior of firms,1,17,Instituciones,2014,A,Requisitos Básicos,0.4
1.18,Strength of auditing and reporting standards,strength of auditing and reporting standards,1,18,Instituciones,2014,A,Requisitos Básicos,0.4
1.19,Efficacy of corporate boards,efficacy of corporate boards,1,19,Instituciones,2014,A,Requisitos Básicos,0.4
1.20,Protection of minority shareholders’ interests,protection of minority shareholders interests,1,20,Instituciones,2014,A,Requisitos Básicos,0.4
1.21,Strength of investor protection,strength of investor protection,1,21,Instituciones,2014,A,Requisitos Básicos,0.4
2.01,Quality of overall infrastructure,quality of overall infrastructure,2,1,Infraestructura,2014,A,Requisitos Básicos,0.4
2.02,Quality of roads,quality of roads,2,2,Infraestructura,2014,A,Requisitos Básicos,0.4
2.03,Quality of railroad infrastructure e,quality of railroad infrastructure e,2,3,Infraestructura,2014,A,Requisitos Básicos,0.4
2.04,Quality of port infrastructure,quality of port infrastructure,2,4,Infraestructura,2014,A,Requisitos Básicos,0.4
2.05,Quality of air transport infrastructure,quality of air transport infrastructure,2,5,Infraestructura,2014,A,Requisitos Básicos,0.4
2.06,Available airline seat kilometers,available airline seat kilometers,2,6,Infraestructura,2014,A,Requisitos Básicos,0.4
2.07,Quality of electricity supply,quality of electricity supply,2,7,Infraestructura,2014,A,Requisitos Básicos,0.4
2.08,Mobile telephone subscriptions,mobile telephone subscriptions,2,8,Infraestructura,2014,A,Requisitos Básicos,0.4
2.09,Fixed telephone lines,fixed telephone lines,2,9,Infraestructura,2014,A,Requisitos Básicos,0.4
3.01,Government budget balance,government budget balance,3,1,Adopción de Tecnologías de Información y Comunicación (TIC),2014,A,Requisitos Básicos,0.4
3.02,Gross national savings,gross national savings,3,2,Adopción de Tecnologías de Información y Comunicación (TIC),2014,A,Requisitos Básicos,0.4
3.03,Inflation,inflation,3,3,Adopción de Tecnologías de Información y Comunicación (TIC),2014,A,Requisitos Básicos,0.4
3.04,Government debt,government debt,3,4,Adopción de Tecnologías de Información y Comunicación (TIC),2014,A,Requisitos Básicos,0.4
3.05,Country credit rating,country credit rating,3,5,Adopción de Tecnologías de Información y Comunicación (TIC),2014,A,Requisitos Básicos,0.4
4.01,Business impact of malaria g,business impact of malaria g,4,1,Estabilidad Macroeconómica,2014,A,Requisitos Básicos,0.4
4.02,Malaria incidence,malaria incidence,4,2,Estabilidad Macroeconómica,2014,A,Requisitos Básicos,0.4
4.03,Business impact of tuberculosis g,business impact of tuberculosis g,4,3,Estabilidad Macroeconómica,2014,A,Requisitos Básicos,0.4
4.04,Tuberculosis incidence,tuberculosis incidence,4,4,Estabilidad Macroeconómica,2014,A,Requisitos Básicos,0.4
4.05,Business impact of HIV/AIDS g,business impact of hivaids g,4,5,Estabilidad Macroeconómica,2014,A,Requisitos Básicos,0.4
4.06,HIV prevalence,hiv prevalence,4,6,Estabilidad Macroeconómica,2014,A,Requisitos Básicos,0.4
4.07,Infant mortality,infant mortality,4,7,Estabilidad Macroeconómica,2014,A,Requisitos Básicos,0.4
4.08,Life expectancy,life expectancy,4,8,Estabilidad Macroeconómica,2014,A,Requisitos Básicos,0.4
4.09,Quality of primary education,quality of primary education,4,9,Estabilidad Macroeconómica,2014,A,Requisitos Básicos,0.4
4.10,Primary education enrollment rate,primary education enrollment rate,4,10,Estabilidad Macroeconómica,2014,A,Requisitos Básicos,0.4
5.01,Secondary education enrollment rate,secondary education enrollment rate,5,1,Salud,2014,B,Impulsores de Eficiencia,0.5
5.02,Tertiary education enrollment rate,tertiary education enrollment rate,5,2,Salud,2014,B,Impulsores de Eficiencia,0.5
5.03,Quality of the education system,quality of the education system,5,3,Salud,2014,B,Impulsores de Eficiencia,0.5
5.04,Quality of math and science education,quality of math and science education,5,4,Salud,2014,B,Impulsores de Eficiencia,0.5
5.05,Quality of management schools,quality of management schools,5,5,Salud,2014,B,Impulsores de Eficiencia,0.5
5.06,Internet access in schools,internet access in schools,5,6,Salud,2014,B,Impulsores de Eficiencia,0.5
5.07,Local availability of specialized research and training,local availability of specialized research and training,5,7,Salud,2014,B,Impulsores de Eficiencia,0.5
5.08,Extent of staff training,extent of staff training,5,8,Salud,2014,B,Impulsores de Eficiencia,0.5
6.01,Intensity of local competition,intensity of local competition,6,1,Habilidades,2014,B,Impulsores de Eficiencia,0.5
6.02,Extent of market dominance,extent of market dominance,6,2,Habilidades,2014,B,Impulsores de Eficiencia,0.5
6.03,Effectiveness of anti-monopoly policy,effectiveness of antimonopoly policy,6,3,Habilidades,2014,B,Impulsores de Eficiencia,0.5
6.04,Effect of taxation on incentives to invest,effect of taxation on incentives to invest,6,4,Habilidades,2014,B,Impulsores de Eficiencia,0.5
6.05,Total tax rate,total tax rate,6,5,Habilidades,2014,B,Impulsores de Eficiencia,0.5
6.06,Number of procedures required to start a business,number of procedures required to start a business,6,6,Habilidades,2014,B,Impulsores de Eficiencia,0.5
