PILAR,ARE,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,EST,FIN,FRA,GBR,GHA,GRC,HUN,IND,IRL,IRN,ISL,ISR,ITA,JOR,JPN,KEN,KOR,LBN,LTU,LUX,LVA,MEX,MOR,NGA,NLD,NOR,NZL,POL,PRT,QAT,ROU,SAU,SEN,SVK,SVN,SWE,TUR,USA,VNM,ZAF,ZWE
1-2014,83.51497206708967,67.6364311023121,67.29634497209537,66.25658978150517,27.16491888566541,28.824544079263386,75.24165955292608,81.2450880714995,62.414254025898934,47.51241226321338,26.411462866154963,38.208707392697285,69.38598311876555,69.12679999302371,23.65334268779463,38.88042835458619,66.86571676041173,91.00642804211122,55.85483870833414,74.54001071204988,38.04022873715637,33.11720915901029,33.489782594474924,37.72012646745461,74.75004238038846,23.965652788125237,68.97632605570482,48.081963004381585,25.51654730682674,52.475663617191174,74.2790306630021,34.33708114488091,33.857372397828954,10.489041012697996,43.66193456093218,81.94048042157094,47.75473051318426,26.90989215110447,48.1364410994222,17.86058470603209,76.6772303105658,81.71509332149644,92.13859926491672,42.71606584766923,52.83817900235811,87.78264986477943,32.40072705648248,65.51831220954358,38.34157729544517,28.48366190257939,39.25342010877825,75.20610901918792,40.129267821016974,58.0810432628254,28.737963030891148,53.69415250972682,28.294337280279663
2-2014,59.514997224819815,39.79035491168118,48.87210616359578,45.8833337066926,23.710606366717727,14.594307776186948,44.12310882081789,70.9528528904322,32.60515857084057,32.38183851818267,13.326356914156953,30.032243108505295,60.4476843164082,44.50436754346876,16.689127355463487,52.54946766774624,39.06983762328426,53.37481868076843,56.65812147428454,48.6480104250277,16.32317904263804,32.06469618064545,29.140953212884483,20.089663496904183,38.52046148645988,23.798299725974832,41.56828589431407,30.527510874322413,39.49689515973599,25.278223387253586,55.78061337243786,18.28752909384182,51.010571717237866,9.736918382167655,37.334927551891596,46.97069053345637,31.415495369114282,24.712693084249,31.45448151681613,4.568969320573095,57.48680593137651,35.241343612763814,38.26983380203543,24.766439908862967,46.23172073299683,43.4749140853751,16.950525610406487,43.165171894206935,15.734461972346448,24.08272960724726,33.9756330169645,44.20920671116771,31.04615665259762,47.653700204434685,20.134087682346824,35.917494563927825,11.723998375952885
3-2014,47.293588047666745,36.51603875722158,40.649919544173386,37.79901858356753,23.500662437802553,32.415841370375915,41.314640097629535,41.393804294476084,30.082006908422454,44.993202288667746,28.11782739445887,32.344388446235854,33.7277501855237,37.12799203442198,23.094280497411496,31.709898891700718,31.75360563886236,36.41229359619475,37.59203257943661,36.18823443139662,29.307747187125784,35.7687884991148,29.0479617869853,40.651245334246774,34.577159671029634,50.81142516723131,28.812151591362245,33.5909493464076,37.079523382606396,24.460637253043686,53.95751000957335,19.900006275066257,31.780920712062745,23.636639261639264,26.435390911158667,30.354454361412138,25.229361947212233,31.75419960868617,30.651438128345518,28.296979496895524,42.5442479083314,55.3604517013826,31.31788825496839,30.34096152168369,30.18071858282991,60.844870219870224,27.036741476520746,47.779864251793235,17.893692124738187,32.55379100838554,31.948102216816228,37.097042044258934,26.25412752062224,40.97688688589599,34.09614910754546,26.941416357803117,8.722358722358722
4-2014,52.98396035865926,49.026741174360396,49.866607475453115,52.09808309159046,40.366733768703305,45.297366987557666,49.157614095716376,53.109614086078246,41.316357466531215,34.079215168225566,40.66620465767962,43.18885649274397,46.96517189434412,49.17775176799671,41.73030127001327,47.195884514886465,45.47858625353414,56.21907632664517,45.7771352744085,47.968465321774666,25.335854992216383,41.29114523602737,42.55358658679263,21.777233790881933,50.192414747748714,34.55509682051897,50.21663620029072,45.62167811664654,47.30876736961072,44.12598041832902,55.093023037999785,35.28001044920833,40.66884019275957,46.93410283998745,40.852253527253296,48.43148659979915,43.338045834978104,38.74975458826694,36.97134479119006,27.189748490122135,51.54198732833091,50.52670457286987,53.22244330488723,40.60496808601259,46.302725856805196,57.954489651488224,32.805736171242145,39.49213109120589,27.047931014419763,51.77521930587392,48.876850774847135,47.25538250859546,44.06549916778635,39.709510045681036,28.939880115652198,26.131748105455216,49.11657669060406
5-2014,74.43130890369676,73.216797872424,66.32121938859689,80.74950928784867,38.847430204735105,38.242612926304915,71.9175639595331,85.25637325637325,52.644739460982656,46.66705327844166,38.89557793822766,53.760178485223854,69.9502056473472,72.54807866060135,10.378427128427127,58.68009386929532,66.23013505114231,87.30916818779795,64.71125370898511,68.76663107175811,33.65358308257582,46.93663691621949,46.34663919464282,38.65540363884284,71.19143786407852,31.294152963390708,70.0330547066028,53.98691532471024,47.74510891911073,52.97924572402793,66.0829281711768,41.812930423411366,59.99676852353804,48.06006624450363,60.5678458380364,63.59495951215551,57.82583516000032,32.45814706567883,31.579199762729708,21.784081961259815,83.31600967762492,74.61842509006755,74.28528784517896,51.39943019775143,65.54224522033051,71.8921977313538,46.398663194035244,49.58679363420742,32.82975365529812,44.264067518151,58.414243004760245,69.17006193208552,42.650810891736484,72.23151181681126,32.892267895443936,35.3659377021446,28.68420354264274
6-2014,69.43595269404442,47.40037619972781,57.62320013934878,59.88634942239083,29.988960792078046,43.9906244977492,46.47375746224245,57.776798481180776,46.613720289810786,53.18573980370171,37.40396463369196,47.9465387935854,57.19989164641815,47.83545140365713,23.584392838049876,44.84871810185735,55.18776598868813,54.23625026469436,46.79751459819572,58.89108498050986,32.677359713937484,33.378989511723965,39.5787186379384,42.344120989122345,58.802518232312494,23.37409278642969,32.91577498676104,29.292128566027177,35.189341476084024,41.85474056534345,59.80690292856408,43.49814863320218,40.03665026436981,31.6838738101036,39.221639865956924,68.04240394231714,44.10490572209169,35.53996566074233,44.36176881218937,36.34051407958256,63.081566399904425,50.66596781576475,61.37265123561401,41.30907192263766,41.47412581608557,61.8784442499166,28.69021411825743,43.013363236016275,36.44096332386781,42.737368670988566,31.633346182700745,55.04091508669895,41.105120328189855,53.06276763046474,39.54443220165174,45.756395951218714,31.09582433771631
7-2014,79.63559501753531,41.29156230768019,42.20704558567005,39.0650214621447,30.491797968167386,32.69877019402144,64.94337758483715,83.44096529832352,57.916369877375004,56.17228402257107,41.8825333109534,44.533579305872436,54.17784808419374,55.11921275461038,33.59094545935322,31.180432840863553,57.981696245026015,48.81560170979034,36.76892823998906,68.76873843834444,44.494262298391476,28.255895395159136,35.55323569358783,44.69847309496149,59.18413883815275,22.462535507187322,53.81110815772259,45.094168115341546,11.924940916853325,46.170046361555926,54.98413493843543,48.05791429003436,47.75810770067479,34.28200257899078,41.28306010183337,64.84380416401244,48.90380930308643,40.32664613843124,47.65713602737518,52.7499297863044,51.93893621101919,56.310352378100994,64.81941041761917,38.55476339004397,36.50855571535565,85.2422240977689,30.192376150224376,59.831796068950176,42.91732597786093,33.325284059374866,23.328223462266525,53.61060856396988,42.12734589966981,68.53489351331885,43.23863191069474,28.67938198251023,30.056843645714935
8-2014,72.65941020225294,74.97711853558627,53.06271601382489,59.13762480798771,40.220094086021504,50.06992447516641,78.16432251664106,77.4508768561188,64.96555779569893,52.169858870967744,39.07010048643113,52.77253744239631,63.15280177931387,57.39879352278545,19.768505184331794,32.78825844854071,58.4218990015361,83.5596678187404,63.7310787890425,70.35246255760369,42.56568420378905,13.532546082949306,33.66787474398362,49.51712909626216,44.32447676651306,13.075996863799281,41.469014016897084,60.69808467741936,23.769601254480285,48.439060099846394,68.15048163082437,57.67745135688684,32.427635368663594,31.411610343061955,43.98473502304148,77.62320788530467,52.64584933435739,40.1642105094726,43.01703309011776,35.04396281362007,60.692044290834616,81.15187371991807,85.70460509472606,52.08033314132105,33.38553667434716,81.89012096774194,39.74142345110087,60.5341541858679,33.57430875576037,51.160474270353305,10.788250448028673,76.4588133640553,48.37437596006144,79.84342997951869,33.05059523809524,78.0704365079365,21.733150921658982
9-2014,65.77662619731858,65.38588774745652,59.91230890831251,66.24621567542044,34.68711126167641,35.2786373252765,59.57263056446111,76.08728506779808,46.415178393601146,26.174748157310937,27.226721491808185,47.03979361559037,63.16115868712926,76.42024592964181,16.39604240970312,51.775859829403664,57.642334781317906,74.09506309178629,64.45906987803218,80.19060946105076,14.551365511255911,37.59664328075765,43.410095841285056,9.498375343804181,67.5437744678947,7.638722057830157,77.7508720881724,63.15546984904511,35.95825399662417,33.1114696586194,69.4481845978174,25.467860100315647,63.16006906555227,24.390190600516878,55.131231688344016,80.65363905059941,51.84870350850968,29.13124387552929,28.4218589977466,17.127855808626283,73.1147677910014,75.99187387513368,64.29528345493385,34.91819891452817,58.50877147299862,59.242491506987776,35.49522159712167,45.63866115229721,22.275538015531577,44.27925951481057,46.112421923876276,81.61654320953586,39.53124294477614,69.04366796635837,15.227869311158605,35.19108275491133,10.959788782135105
10-2014,50.15698587127159,60.099424385138676,52.95656724228154,59.366823652537946,37.10099424385138,68.78597592883307,68.2888540031397,50.65410779696494,46.80795395081108,97.95918367346937,48.58712715855573,51.17739403453689,81.34484563055992,43.74672946101517,49.60753532182104,67.2684458398744,20.225013082155943,41.18262689691261,74.17582417582418,75.19623233908948,29.670329670329668,43.22344322344322,46.572475143903716,84.14442700156985,45.81371009942439,60.361067503924644,5.128205128205128,44.50549450549451,70.5913134484563,20.460491889063313,80.55991627420198,25.824175824175825,73.41705913134484,30.19361590790162,31.475667189952897,26.89691261119832,20.98377812663526,71.87336473050757,39.900575614861324,52.69492412349555,64.99215070643642,44.76713762428048,32.993197278911566,61.904761904761905,44.76713762428048,42.22919937205651,47.06959706959706,63.448456305599166,10.989010989010984,41.96755625327053,29.434850863422284,51.674515960230245,62.401883830455255,96.15384615384616,55.52066980638409,55.756148613291465,0.0
